entry,at,order
"The player ""kazi @ UjmlTJJY4O"" quits the game with a stack of 29520.",2020-05-26T05:59:15.660Z,159047275566665
"The player ""malus @ 8ncrrd9vZR"" quits the game with a stack of 0.",2020-05-26T05:58:50.916Z,159047273092276
"-- ending hand #118 --",2020-05-26T05:58:44.389Z,159047272439645
"""kazi @ UjmlTJJY4O"" wins 18760 with Pair, 3's (hand: 3♠, 3♥)",2020-05-26T05:58:44.389Z,159047272439640
"""kazi @ UjmlTJJY4O"" shows a 3♠, 3♥.",2020-05-26T05:58:41.375Z,159047272138110
"""malus @ 8ncrrd9vZR"" shows a 2♦, 2♣.",2020-05-26T05:58:41.375Z,159047272138108
"river: 7♠, 9♣, Q♥, J♠ [4♣]",2020-05-26T05:58:41.375Z,159047272138104
"""kazi @ UjmlTJJY4O"" calls with 4380",2020-05-26T05:58:40.463Z,159047272047016
"""malus @ 8ncrrd9vZR"" raises and all in with 4380",2020-05-26T05:58:28.114Z,159047270812067
"turn: 7♠, 9♣, Q♥ [J♠]",2020-05-26T05:58:18.708Z,159047269871566
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:58:17.796Z,159047269780242
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:58:16.173Z,159047269618159
"flop:  [7♠, 9♣, Q♥]",2020-05-26T05:58:10.605Z,159047269061131
"""kazi @ UjmlTJJY4O"" calls with 5000",2020-05-26T05:58:09.695Z,159047268970148
"""malus @ 8ncrrd9vZR"" raises with 5000",2020-05-26T05:58:04.910Z,159047268491681
"""kazi @ UjmlTJJY4O"" raises with 200",2020-05-26T05:57:57.151Z,159047267715719
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:57:51.597Z,159047267160313
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:57:51.597Z,159047267160312
"-- starting hand #118 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:57:51.597Z,159047267160301
"-- ending hand #117 --",2020-05-26T05:57:48.083Z,159047266808949
"""kazi @ UjmlTJJY4O"" gained 2000",2020-05-26T05:57:48.083Z,159047266808944
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:57:46.675Z,159047266668163
"""kazi @ UjmlTJJY4O"" raises with 9380",2020-05-26T05:57:40.951Z,159047266096023
"flop:  [6♣, 7♥, 9♣]",2020-05-26T05:57:36.870Z,159047265687780
"""kazi @ UjmlTJJY4O"" calls with 1000",2020-05-26T05:57:35.957Z,159047265597044
"""malus @ 8ncrrd9vZR"" raises with 1000",2020-05-26T05:57:34.170Z,159047265417781
"""kazi @ UjmlTJJY4O"" raises with 200",2020-05-26T05:57:27.574Z,159047264758163
"""malus @ 8ncrrd9vZR"" raises with 100",2020-05-26T05:57:24.152Z,159047264415837
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:57:08.137Z,159047262814519
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:57:08.137Z,159047262814518
"-- starting hand #117 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:57:08.137Z,159047262814506
"-- ending hand #116 --",2020-05-26T05:57:04.622Z,159047262462960
"""malus @ 8ncrrd9vZR"" gained 200",2020-05-26T05:57:04.622Z,159047262462956
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:57:03.214Z,159047262322002
"""malus @ 8ncrrd9vZR"" raises with 1000",2020-05-26T05:57:01.539Z,159047262154577
"""kazi @ UjmlTJJY4O"" raises with 100",2020-05-26T05:56:51.932Z,159047261193846
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:56:40.223Z,159047260023097
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:56:40.223Z,159047260023095
"-- starting hand #116 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:56:40.223Z,159047260023084
"-- ending hand #115 --",2020-05-26T05:56:33.692Z,159047259369948
"""malus @ 8ncrrd9vZR"" wins 440 with Pair, Q's (hand: 9♥, 4♣)",2020-05-26T05:56:33.692Z,159047259369944
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:56:32.782Z,159047259278792
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:56:30.747Z,159047259075322
"river: 3♥, Q♣, A♣, Q♦ [2♥]",2020-05-26T05:56:28.985Z,159047258899201
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:56:28.074Z,159047258808083
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:56:24.680Z,159047258468618
"turn: 3♥, Q♣, A♣ [Q♦]",2020-05-26T05:56:21.531Z,159047258153837
"""malus @ 8ncrrd9vZR"" calls with 200",2020-05-26T05:56:20.621Z,159047258063133
"""kazi @ UjmlTJJY4O"" raises with 200",2020-05-26T05:56:18.213Z,159047257822007
"flop:  [3♥, Q♣, A♣]",2020-05-26T05:56:11.921Z,159047257192804
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:56:11.012Z,159047257101922
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:56:10.064Z,159047257007039
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:56:07.936Z,159047256794601
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:56:07.936Z,159047256794599
"-- starting hand #115 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:56:07.936Z,159047256794590
"-- ending hand #114 --",2020-05-26T05:56:04.421Z,159047256442707
"""kazi @ UjmlTJJY4O"" gained 1400",2020-05-26T05:56:04.421Z,159047256442704
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:56:03.010Z,159047256301741
"""kazi @ UjmlTJJY4O"" raises with 5000",2020-05-26T05:56:00.707Z,159047256071453
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:55:57.875Z,159047255788264
"river: 7♣, Q♣, A♠, 9♥ [8♣]",2020-05-26T05:55:54.236Z,159047255424459
"""kazi @ UjmlTJJY4O"" calls with 500",2020-05-26T05:55:53.327Z,159047255333469
"""malus @ 8ncrrd9vZR"" raises with 500",2020-05-26T05:55:50.956Z,159047255096311
"turn: 7♣, Q♣, A♠ [9♥]",2020-05-26T05:55:43.215Z,159047254322296
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:55:42.308Z,159047254231814
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:55:39.818Z,159047253982568
"flop:  [7♣, Q♣, A♠]",2020-05-26T05:55:33.857Z,159047253386417
"""malus @ 8ncrrd9vZR"" calls with 200",2020-05-26T05:55:32.948Z,159047253295500
"""kazi @ UjmlTJJY4O"" raises with 200",2020-05-26T05:55:30.445Z,159047253045187
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:55:25.442Z,159047252544813
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:55:25.442Z,159047252544812
"-- starting hand #114 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:55:25.442Z,159047252544803
"-- ending hand #113 --",2020-05-26T05:55:21.927Z,159047252193344
"""malus @ 8ncrrd9vZR"" gained 40",2020-05-26T05:55:21.927Z,159047252193340
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:55:20.519Z,159047252052637
"""malus @ 8ncrrd9vZR"" raises with 2000",2020-05-26T05:55:07.121Z,159047250712826
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:55:00.635Z,159047250064365
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:55:00.635Z,159047250064364
"-- starting hand #113 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:55:00.635Z,159047250064355
"-- ending hand #112 --",2020-05-26T05:54:57.116Z,159047249712242
"""malus @ 8ncrrd9vZR"" gained 40",2020-05-26T05:54:57.116Z,159047249712229
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:54:55.707Z,159047249571385
"""malus @ 8ncrrd9vZR"" raises with 2000",2020-05-26T05:54:46.432Z,159047248643847
