entry,at,order
"flop:  [3♠, A♠, 9♠]",2020-05-26T05:54:30.140Z,159047247014844
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:54:29.229Z,159047246923599
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:54:25.198Z,159047246520687
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:54:21.809Z,159047246181763
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:54:21.809Z,159047246181762
"-- starting hand #112 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:54:21.809Z,159047246181744
"-- ending hand #111 --",2020-05-26T05:54:18.295Z,159047245830199
"""kazi @ UjmlTJJY4O"" gained 8800",2020-05-26T05:54:18.295Z,159047245830195
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:54:16.879Z,159047245688599
"""kazi @ UjmlTJJY4O"" raises and all in with 10000",2020-05-26T05:54:03.367Z,159047244337417
"turn: 10♠, 5♦, 8♣ [9♣]",2020-05-26T05:53:52.539Z,159047243254485
"""malus @ 8ncrrd9vZR"" calls with 4380",2020-05-26T05:53:51.629Z,159047243163603
"""kazi @ UjmlTJJY4O"" raises with 4380",2020-05-26T05:53:48.584Z,159047242859085
"flop:  [10♠, 5♦, 8♣]",2020-05-26T05:53:44.182Z,159047242418839
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:53:43.274Z,159047242328107
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:53:42.324Z,159047242233101
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:53:36.642Z,159047241665030
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:53:36.642Z,159047241665029
"-- starting hand #111 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:53:36.642Z,159047241665019
"-- ending hand #110 --",2020-05-26T05:53:30.114Z,159047241012202
"""malus @ 8ncrrd9vZR"" wins 15120 with Two Pair, 9's & 8's (hand: 9♦, 8♠)",2020-05-26T05:53:30.114Z,159047241012196
"""kazi @ UjmlTJJY4O"" shows a Q♥, K♣.",2020-05-26T05:53:27.100Z,159047240710740
"""malus @ 8ncrrd9vZR"" shows a 9♦, 8♠.",2020-05-26T05:53:27.100Z,159047240710738
"river: 7♠, 8♣, K♦, 10♠ [9♣]",2020-05-26T05:53:27.100Z,159047240710733
"""kazi @ UjmlTJJY4O"" calls with 5540",2020-05-26T05:53:26.188Z,159047240619501
"""malus @ 8ncrrd9vZR"" raises and all in with 5540",2020-05-26T05:53:25.244Z,159047240525093
"turn: 7♠, 8♣, K♦ [10♠]",2020-05-26T05:53:20.404Z,159047240042037
"""kazi @ UjmlTJJY4O"" calls with 2000",2020-05-26T05:53:19.491Z,159047239950021
"""malus @ 8ncrrd9vZR"" raises with 2000",2020-05-26T05:53:17.986Z,159047239799459
"flop:  [7♠, 8♣, K♦]",2020-05-26T05:53:09.362Z,159047238936817
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:53:08.453Z,159047238846244
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:53:03.221Z,159047238322811
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:52:59.398Z,159047237940556
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:52:59.398Z,159047237940554
"-- starting hand #110 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:52:59.398Z,159047237940541
"-- ending hand #109 --",2020-05-26T05:52:52.866Z,159047237287408
"""kazi @ UjmlTJJY4O"" wins 21960 with Flush, As High (hand: Q♠, 7♠)",2020-05-26T05:52:52.866Z,159047237287402
"""kazi @ UjmlTJJY4O"" shows a Q♠, 7♠.",2020-05-26T05:52:49.850Z,159047236986043
"""malus @ 8ncrrd9vZR"" shows a 3♣, K♥.",2020-05-26T05:52:49.850Z,159047236986041
"river: A♠, 7♦, 3♠, K♠ [9♦]",2020-05-26T05:52:49.850Z,159047236986036
"""kazi @ UjmlTJJY4O"" calls and all in with 9960",2020-05-26T05:52:48.941Z,159047236894756
"""malus @ 8ncrrd9vZR"" raises with 9960",2020-05-26T05:52:32.436Z,159047235244221
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:52:28.645Z,159047234865312
"turn: A♠, 7♦, 3♠ [K♠]",2020-05-26T05:52:25.984Z,159047234599143
"""kazi @ UjmlTJJY4O"" calls with 1000",2020-05-26T05:52:25.077Z,159047234508376
"""malus @ 8ncrrd9vZR"" raises with 1000",2020-05-26T05:52:23.491Z,159047234349846
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:52:17.021Z,159047233702759
"flop:  [A♠, 7♦, 3♠]",2020-05-26T05:52:11.361Z,159047233136739
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:52:10.448Z,159047233045500
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:52:09.504Z,159047232951113
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:52:05.188Z,159047232519622
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:52:05.188Z,159047232519621
"-- starting hand #109 (dead button) --",2020-05-26T05:52:05.188Z,159047232519615
"The player ""Han @ 3hG8ljWG9A"" quits the game with a stack of 0.",2020-05-26T05:52:05.188Z,159047232519610
"-- ending hand #108 --",2020-05-26T05:51:58.653Z,159047231866080
"""malus @ 8ncrrd9vZR"" wins 4914 with Full House, 10's over 9's (hand: 10♠, 9♥)",2020-05-26T05:51:58.653Z,159047231866075
"""Han @ 3hG8ljWG9A"" shows a 3♣, 5♣.",2020-05-26T05:51:55.640Z,159047231564748
"""malus @ 8ncrrd9vZR"" shows a 10♠, 9♥.",2020-05-26T05:51:55.640Z,159047231564746
"river: 9♣, 2♥, 4♣, 10♦ [10♣]",2020-05-26T05:51:55.640Z,159047231564742
"""malus @ 8ncrrd9vZR"" calls with 427",2020-05-26T05:51:54.731Z,159047231473789
"""Han @ 3hG8ljWG9A"" raises and all in with 427",2020-05-26T05:51:51.991Z,159047231199857
"turn: 9♣, 2♥, 4♣ [10♦]",2020-05-26T05:51:48.237Z,159047230825376
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:51:46.828Z,159047230683594
"""Han @ 3hG8ljWG9A"" calls with 2000",2020-05-26T05:51:44.617Z,159047230462414
"""malus @ 8ncrrd9vZR"" raises with 2000",2020-05-26T05:51:42.961Z,159047230296825
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:51:30.016Z,159047229002293
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:51:28.595Z,159047228860187
"flop:  [9♣, 2♥, 4♣]",2020-05-26T05:51:22.881Z,159047228288819
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:51:21.972Z,159047228198174
"""Han @ 3hG8ljWG9A"" calls with 20",2020-05-26T05:51:19.593Z,159047227960039
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:51:17.893Z,159047227790140
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:51:10.680Z,159047227068858
"""Han @ 3hG8ljWG9A"" posts a small blind of 10",2020-05-26T05:51:10.680Z,159047227068856
"-- starting hand #108 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:51:10.680Z,159047227068845
"""Han @ 3hG8ljWG9A"" shows a A♠, 6♠.",2020-05-26T05:51:07.213Z,159047226721960
"-- ending hand #107 --",2020-05-26T05:51:03.151Z,159047226315963
"""malus @ 8ncrrd9vZR"" wins 2020 with A High (hand: 6♥, A♥)",2020-05-26T05:51:03.151Z,159047226315958
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:51:02.235Z,159047226224264
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:51:01.288Z,159047226129464
"river: 3♠, 4♦, J♣, 2♣ [9♣]",2020-05-26T05:50:55.372Z,159047225537967
"""malus @ 8ncrrd9vZR"" calls with 750",2020-05-26T05:50:54.464Z,159047225447059
"""kazi @ UjmlTJJY4O"" raises with 750",2020-05-26T05:50:51.023Z,159047225103002
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:50:48.656Z,159047224866355
"turn: 3♠, 4♦, J♣ [2♣]",2020-05-26T05:50:46.194Z,159047224620044
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:50:45.285Z,159047224529183
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:50:38.920Z,159047223892726
"flop:  [3♠, 4♦, J♣]",2020-05-26T05:50:34.929Z,159047223493547
"""kazi @ UjmlTJJY4O"" calls with 250",2020-05-26T05:50:34.022Z,159047223402917
"""Han @ 3hG8ljWG9A"" folds",2020-05-26T05:50:32.577Z,159047223258418
"""malus @ 8ncrrd9vZR"" raises with 250",2020-05-26T05:50:26.568Z,159047222657569
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:50:10.085Z,159047221009211
"""Han @ 3hG8ljWG9A"" posts a big blind of 20",2020-05-26T05:50:03.312Z,159047220332024
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:50:03.312Z,159047220332023
"-- starting hand #107 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:50:03.312Z,159047220332012
"-- ending hand #106 --",2020-05-26T05:49:59.786Z,159047219979298
"""malus @ 8ncrrd9vZR"" gained 3088",2020-05-26T05:49:59.786Z,159047219979285
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:49:58.374Z,159047219838062
"""malus @ 8ncrrd9vZR"" raises with 3000",2020-05-26T05:49:56.212Z,159047219621914
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:49:50.594Z,159047219060134
"river: 9♠, 5♣, 7♠, K♣ [K♥]",2020-05-26T05:49:32.408Z,159047217241550
"""kazi @ UjmlTJJY4O"" calls with 1000",2020-05-26T05:49:31.499Z,159047217150628
"""malus @ 8ncrrd9vZR"" raises with 1000",2020-05-26T05:49:24.724Z,159047216473119
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:49:19.543Z,159047215955019
"turn: 9♠, 5♣, 7♠ [K♣]",2020-05-26T05:49:16.606Z,159047215661409
"""malus @ 8ncrrd9vZR"" calls with 524",2020-05-26T05:49:15.694Z,159047215570122
"""kazi @ UjmlTJJY4O"" raises with 524",2020-05-26T05:49:08.594Z,159047214860147
"flop:  [9♠, 5♣, 7♠]",2020-05-26T05:48:55.919Z,159047213592515
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:48:55.008Z,159047213501567
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:48:51.606Z,159047213161228
"""Han @ 3hG8ljWG9A"" folds",2020-05-26T05:48:48.018Z,159047212802921
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:48:44.270Z,159047212427810
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:48:44.270Z,159047212427809
"-- starting hand #106 (dealer: ""Han @ 3hG8ljWG9A"") --",2020-05-26T05:48:44.270Z,159047212427797
"-- ending hand #105 --",2020-05-26T05:48:40.750Z,159047212075766
"""kazi @ UjmlTJJY4O"" gained 2610",2020-05-26T05:48:40.750Z,159047212075761
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:48:39.340Z,159047211934837
"""kazi @ UjmlTJJY4O"" raises and all in with 11334",2020-05-26T05:48:18.424Z,159047209843164
"""malus @ 8ncrrd9vZR"" raises with 400",2020-05-26T05:48:06.191Z,159047208619809
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:48:00.363Z,159047208036976
"turn: 8♥, A♠, 4♥ [7♠]",2020-05-26T05:47:58.784Z,159047207879059
"""malus @ 8ncrrd9vZR"" calls with 500",2020-05-26T05:47:57.876Z,159047207788305
"""kazi @ UjmlTJJY4O"" raises with 500",2020-05-26T05:47:55.876Z,159047207588520
"flop:  [8♥, A♠, 4♥]",2020-05-26T05:47:38.968Z,159047205897549
"""kazi @ UjmlTJJY4O"" calls with 400",2020-05-26T05:47:38.058Z,159047205806465
"""Han @ 3hG8ljWG9A"" folds",2020-05-26T05:47:35.642Z,159047205564917
"""malus @ 8ncrrd9vZR"" raises with 400",2020-05-26T05:47:33.820Z,159047205382755
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:47:27.162Z,159047204716996
"""Han @ 3hG8ljWG9A"" posts a small blind of 10",2020-05-26T05:47:27.162Z,159047204716995
"-- starting hand #105 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:47:27.162Z,159047204716987
"The player ""hongs69hd @ LhcBZogSKG"" quits the game with a stack of 3994.",2020-05-26T05:47:27.162Z,159047204716982
"-- ending hand #104 --",2020-05-26T05:47:23.651Z,159047204365916
"""kazi @ UjmlTJJY4O"" gained 234",2020-05-26T05:47:23.651Z,159047204365911
"""Han @ 3hG8ljWG9A"" folds",2020-05-26T05:47:22.240Z,159047204225199
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:47:20.781Z,159047204078804
"""kazi @ UjmlTJJY4O"" raises with 2000",2020-05-26T05:47:18.915Z,159047203892189
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:47:15.972Z,159047203597928
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:47:15.001Z,159047203500884
"river: 8♦, 7♠, 4♦, Q♥ [J♦]",2020-05-26T05:47:09.944Z,159047202995171
"""Han @ 3hG8ljWG9A"" calls with 58",2020-05-26T05:47:09.036Z,159047202904274
"""malus @ 8ncrrd9vZR"" calls with 58",2020-05-26T05:47:07.422Z,159047202742936
"""kazi @ UjmlTJJY4O"" raises with 58",2020-05-26T05:47:05.471Z,159047202547823
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:47:00.972Z,159047202097904
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:46:59.354Z,159047201936144
"turn: 8♦, 7♠, 4♦ [Q♥]",2020-05-26T05:46:52.520Z,159047201252797
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:46:51.612Z,159047201161949
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:46:50.667Z,159047201067418
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:46:49.014Z,159047200902260
"flop:  [8♦, 7♠, 4♦]",2020-05-26T05:46:40.036Z,159047200004246
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:46:39.126Z,159047199913268
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:46:37.214Z,159047199722115
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:46:34.779Z,159047199478596
"""Han @ 3hG8ljWG9A"" posts a big blind of 20",2020-05-26T05:46:32.701Z,159047199270944
"""malus @ 8ncrrd9vZR"" posts a small blind of 10",2020-05-26T05:46:32.701Z,159047199270943
"-- starting hand #104 (dealer: ""kazi @ UjmlTJJY4O"") --",2020-05-26T05:46:32.701Z,159047199270932
"""malus @ 8ncrrd9vZR"" shows a 2♣, A♥.",2020-05-26T05:46:29.688Z,159047198969430
"-- ending hand #103 --",2020-05-26T05:46:25.147Z,159047198515525
"""kazi @ UjmlTJJY4O"" wins 418 with Two Pair, 6's & 4's (hand: 3♥, 6♥)",2020-05-26T05:46:25.147Z,159047198515519
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:46:24.239Z,159047198424657
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:46:22.522Z,159047198252952
"river: K♥, 7♣, 6♣, 4♥ [4♣]",2020-05-26T05:46:20.452Z,159047198045896
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:46:19.543Z,159047197954994
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:46:17.566Z,159047197757339
"turn: K♥, 7♣, 6♣ [4♥]",2020-05-26T05:46:15.196Z,159047197521361
"""malus @ 8ncrrd9vZR"" calls with 149",2020-05-26T05:46:14.287Z,159047197429423
"""kazi @ UjmlTJJY4O"" raises with 149",2020-05-26T05:46:12.528Z,159047197253472
"flop:  [K♥, 7♣, 6♣]",2020-05-26T05:46:06.596Z,159047196660404
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:46:05.684Z,159047196569097
"""kazi @ UjmlTJJY4O"" calls with 20",2020-05-26T05:46:04.715Z,159047196472249
"""Han @ 3hG8ljWG9A"" folds",2020-05-26T05:46:03.070Z,159047196307796
"""malus @ 8ncrrd9vZR"" posts a big blind of 20",2020-05-26T05:46:00.811Z,159047196081781
"""kazi @ UjmlTJJY4O"" posts a small blind of 10",2020-05-26T05:46:00.811Z,159047196081780
"-- starting hand #103 (dealer: ""Han @ 3hG8ljWG9A"") --",2020-05-26T05:46:00.811Z,159047196081764
"-- ending hand #102 --",2020-05-26T05:45:57.298Z,159047195730586
"""Han @ 3hG8ljWG9A"" gained 60",2020-05-26T05:45:57.298Z,159047195730581
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:45:55.889Z,159047195589700
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:45:51.782Z,159047195178842
"""Han @ 3hG8ljWG9A"" raises and all in with 2495",2020-05-26T05:45:49.155Z,159047194916244
"river: 3♦, J♠, 10♠, 7♦ [K♣]",2020-05-26T05:45:42.042Z,159047194204958
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:45:41.133Z,159047194114300
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:45:37.480Z,159047193748756
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:45:36.534Z,159047193654083
"turn: 3♦, J♠, 10♠ [7♦]",2020-05-26T05:45:34.331Z,159047193433886
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:45:33.422Z,159047193342928
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:45:30.717Z,159047193072468
"""Han @ 3hG8ljWG9A"" checks",2020-05-26T05:45:28.887Z,159047192889431
"flop:  [3♦, J♠, 10♠]",2020-05-26T05:45:25.759Z,159047192576546
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:45:24.848Z,159047192485686
"""Han @ 3hG8ljWG9A"" calls with 20",2020-05-26T05:45:18.911Z,159047191891847
"""malus @ 8ncrrd9vZR"" calls with 20",2020-05-26T05:45:13.231Z,159047191323881
"""kazi @ UjmlTJJY4O"" posts a big blind of 20",2020-05-26T05:45:10.274Z,159047191028171
"""Han @ 3hG8ljWG9A"" posts a small blind of 10",2020-05-26T05:45:10.274Z,159047191028170
"-- starting hand #102 (dealer: ""malus @ 8ncrrd9vZR"") --",2020-05-26T05:45:10.274Z,159047191028159
"-- ending hand #101 --",2020-05-26T05:45:06.760Z,159047190676790
"""Han @ 3hG8ljWG9A"" gained 120",2020-05-26T05:45:06.760Z,159047190676785
"""malus @ 8ncrrd9vZR"" folds",2020-05-26T05:45:05.351Z,159047190535779
"""Han @ 3hG8ljWG9A"" raises with 395",2020-05-26T05:44:56.576Z,159047189658355
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:44:49.069Z,159047188908072
"river: 4♣, 7♦, 2♣, J♠ [10♣]",2020-05-26T05:44:46.795Z,159047188680244
"""malus @ 8ncrrd9vZR"" calls with 30",2020-05-26T05:44:45.886Z,159047188589390
"""kazi @ UjmlTJJY4O"" folds",2020-05-26T05:44:41.865Z,159047188187168
"""Han @ 3hG8ljWG9A"" raises with 30",2020-05-26T05:44:39.688Z,159047187969526
"""malus @ 8ncrrd9vZR"" checks",2020-05-26T05:44:35.905Z,159047187591267
"turn: 4♣, 7♦, 2♣ [J♠]",2020-05-26T05:44:32.882Z,159047187288848
"""kazi @ UjmlTJJY4O"" checks",2020-05-26T05:44:31.974Z,159047187198127
