entry,at,order
"""DARWIN @ XbHNZgHNwg"" wins 6130 with Straight, Q High (hand: Q♦, 8♦)",2020-05-30T05:54:04.950Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:54:04.040Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:54:02.053Z,1.59082E+14
"river: 9♦, J♠, 10♠, J♥ [2♣]",2020-05-30T05:53:59.144Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:53:58.231Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:53:56.189Z,1.59082E+14
"turn: 9♦, J♠, 10♠ [J♥]",2020-05-30T05:53:53.143Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 2010",2020-05-30T05:53:52.231Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:53:46.483Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" folds",2020-05-30T05:53:43.587Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 2010",2020-05-30T05:53:42.635Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" raises and all in with 2010",2020-05-30T05:53:37.966Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:53:35.623Z,1.59082E+14
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:53:31.237Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:53:27.513Z,1.59082E+14
"flop:  [9♦, J♠, 10♠]",2020-05-30T05:53:21.797Z,1.59082E+14
"""Han @ zkpZrelbNa"" checks",2020-05-30T05:53:20.888Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 20",2020-05-30T05:53:18.042Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:53:16.074Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:53:14.609Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:53:10.175Z,1.59082E+14
"""Han @ zkpZrelbNa"" posts a big blind of 20",2020-05-30T05:53:07.358Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" posts a small blind of 10",2020-05-30T05:53:07.358Z,1.59082E+14
"Your hand is Q♦, 8♦",2020-05-30T05:53:07.358Z,1.59082E+14
"-- starting hand #117 (dealer: ""JX @ 2G9coVWBct"") --",2020-05-30T05:53:07.358Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" shows a 2♠, J♥.",2020-05-30T05:53:02.288Z,1.59082E+14
-- ending hand #116 --,2020-05-30T05:52:59.792Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" wins 984 with Two Pair, 10's & 2's (hand: 10♥, J♣)",2020-05-30T05:52:59.792Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:52:58.883Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:52:57.277Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:52:55.320Z,1.59082E+14
"river: 5♥, 2♥, 2♦, 10♠ [3♦]",2020-05-30T05:52:52.636Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:52:51.727Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:52:49.735Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:52:47.756Z,1.59082E+14
"turn: 5♥, 2♥, 2♦ [10♠]",2020-05-30T05:52:45.685Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:52:44.776Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:52:43.109Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:52:41.037Z,1.59082E+14
"flop:  [5♥, 2♥, 2♦]",2020-05-30T05:52:38.821Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 328",2020-05-30T05:52:37.866Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 328",2020-05-30T05:52:36.436Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" raises with 328",2020-05-30T05:52:34.180Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:52:28.139Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:52:26.579Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" folds",2020-05-30T05:52:22.777Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:52:10.499Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" posts a big blind of 20",2020-05-30T05:52:08.594Z,1.59082E+14
"""JX @ 2G9coVWBct"" posts a small blind of 10",2020-05-30T05:52:08.594Z,1.59082E+14
"Your hand is 10♥, J♣",2020-05-30T05:52:08.594Z,1.59082E+14
"-- starting hand #116 (dealer: ""DARWIN @ XbHNZgHNwg"") --",2020-05-30T05:52:08.594Z,1.59082E+14
-- ending hand #115 --,2020-05-30T05:52:02.075Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" wins 160 with Two Pair, Q's & 6's (hand: Q♦, 2♦)",2020-05-30T05:52:02.075Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" folds",2020-05-30T05:52:00.663Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 40",2020-05-30T05:51:59.706Z,1.59082E+14
"""JX @ 2G9coVWBct"" folds",2020-05-30T05:51:58.252Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" raises with 40",2020-05-30T05:51:54.861Z,1.59082E+14
"river: 6♦, 2♥, 6♣, 4♠ [Q♣]",2020-05-30T05:51:50.761Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:51:49.850Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:51:47.864Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:51:46.488Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:51:41.984Z,1.59082E+14
"turn: 6♦, 2♥, 6♣ [4♠]",2020-05-30T05:51:35.782Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:51:34.873Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:51:32.984Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:51:29.278Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:51:26.623Z,1.59082E+14
"flop:  [6♦, 2♥, 6♣]",2020-05-30T05:51:22.545Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:51:21.630Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:51:18.065Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:51:17.106Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:51:14.983Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 20",2020-05-30T05:51:14.018Z,1.59082E+14
"""JX @ 2G9coVWBct"" posts a big blind of 20",2020-05-30T05:50:58.063Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" posts a small blind of 10",2020-05-30T05:50:58.063Z,1.59082E+14
"Your hand is Q♦, 2♦",2020-05-30T05:50:58.063Z,1.59082E+14
"-- starting hand #115 (dealer: ""Dawrin @ 8tZJd0LYSy"") --",2020-05-30T05:50:58.063Z,1.59082E+14
"The player ""Dany @ Uo7D5I9OYU"" quits the game with a stack of 7989.",2020-05-30T05:50:58.063Z,1.59082E+14
"""JX @ 2G9coVWBct"" shows a K♦, 2♠.",2020-05-30T05:50:56.556Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" shows a J♥, 7♠.",2020-05-30T05:50:53.626Z,1.59082E+14
-- ending hand #114 --,2020-05-30T05:50:52.558Z,1.59082E+14
"""JX @ 2G9coVWBct"" gained 820",2020-05-30T05:50:52.558Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" folds",2020-05-30T05:50:51.149Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" folds",2020-05-30T05:50:46.408Z,1.59082E+14
"""JX @ 2G9coVWBct"" raises with 500",2020-05-30T05:50:44.939Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:50:39.732Z,1.59082E+14
"river: K♥, 7♣, 6♦, 9♣ [9♥]",2020-05-30T05:50:36.650Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 100",2020-05-30T05:50:35.742Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:50:33.060Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 100",2020-05-30T05:50:32.098Z,1.59082E+14
"""JX @ 2G9coVWBct"" raises with 100",2020-05-30T05:50:28.950Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:50:21.255Z,1.59082E+14
"turn: K♥, 7♣, 6♦ [9♣]",2020-05-30T05:50:19.474Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 100",2020-05-30T05:50:18.563Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" folds",2020-05-30T05:50:16.406Z,1.59082E+14
"""Han @ zkpZrelbNa"" calls with 100",2020-05-30T05:50:14.566Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 100",2020-05-30T05:50:12.048Z,1.59082E+14
"""JX @ 2G9coVWBct"" raises with 100",2020-05-30T05:50:06.498Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" checks",2020-05-30T05:49:52.766Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" folds",2020-05-30T05:49:51.308Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:49:46.605Z,1.59082E+14
"flop:  [K♥, 7♣, 6♦]",2020-05-30T05:49:42.042Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" checks",2020-05-30T05:49:41.133Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:49:20.190Z,1.59082E+14
"""Han @ zkpZrelbNa"" calls with 20",2020-05-30T05:49:18.419Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" calls with 20",2020-05-30T05:49:17.467Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:48:59.530Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" calls with 20",2020-05-30T05:48:55.953Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" posts a big blind of 20",2020-05-30T05:48:41.752Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" posts a small blind of 10",2020-05-30T05:48:41.752Z,1.59082E+14
"Your hand is J♥, 7♠",2020-05-30T05:48:41.752Z,1.59082E+14
"-- starting hand #114 (dealer: ""Han @ zkpZrelbNa"") --",2020-05-30T05:48:41.752Z,1.59082E+14
-- ending hand #113 --,2020-05-30T05:48:35.226Z,1.59082E+14
